"author.id","author.name","author.birth","author.death","works.viaf.count","article.count","word.count"
"","إبراهيم خليل مردم بك","","","",6,4702
"viaf:53094077","محمد فريد أفندي وجدي","1875","1954","54",5,8344
"viaf:299025643","محمد عارف المنير الحسيني","","","2",5,3151
"","عبد الرحمن القصار","","","",5,1429
"viaf:58892856","الشيخ صالح أفندي الشريف","1869","1920","8",4,5000
"viaf:267054449","مختار المؤيد","1822","1921","2",4,949
"","أبو الضيا","","","",3,5097
"","أحمد الباشا","","","",3,4274
"","ع","","","",3,2833
"","صلاح الدين الزعيم","","","",3,2448
"","محمد القاسمي الحلاق","","","",2,3619
"viaf:17087051","محمد أبو الخير الطباع","","","1",2,2881
"viaf:63117968","محمد راغب طباخ","1877","1951","10",2,1445
"","عبد المجيد القصاب","","","",2,1405
"","أحمد الجوبري","","","",2,1113
"viaf:60500457","أحمد محرم","1877","1945","9",2,1021
"","محي الدين الخاني","","","",2,74
"","محمد القاسمي","","","",1,4020
"","الشيخ السيد المكي","","","",1,2791
"","محمود افندي العطار","","","",1,2751
"","الشيخ محمد أفندي القاسمي الحلاق","","","",1,2517
"","عبد مصطفى","","","",1,1711
"","أ. ح","","","",1,1651
"","ت ف","","","",1,1357
"viaf:300091608","فؤاد الخطيب","1880","1957","4",1,986
"viaf:337149106226468491192","محمد صادق عنبر","1872","1938","7",1,848
"","محمد الهاشمي","","","",1,834
"","ب","","","",1,791
"","فارس النجار","","","",1,766
"viaf:305215027","الأستاذ الشيخ مصطفى نجا","1853","1932","2",1,764
"viaf:236524859","مصطفى صادق الرافعي","1880-01-01","1937-05-14","45",1,730
"","صلاح الدين","","","",1,706
"","السيد عبد القادر المبارك الجزائري","","","",1,644
"","راغب السادات","","","",1,579
"","م. ز","","","",1,568
"","ع ع","","","",1,555
"","السيد محمد الخضر بن الحسين التونسي","","","",1,513
"|","ابن الأمير محمد سعيد|محمد سعيد","|","|","|",1,488
"","محمد عارف المحملجي","","","",1,483
"viaf:280763829","عبد الحميد أفندي الرافعي","1859","1932","3",1,470
"","عبد الله أديب المعروف","","","",1,469
"viaf:14924300","معروف الرصافي","1875-01-01","1945-01-01","36",1,469
"","ي ص","","","",1,466
"","عارف المحملجي","","","",1,451
"|viaf:305215027","الشيخ مصطفى أفندي نجا|الأستاذ الشيخ مصطفى نجا","|1853","|1932","|2",1,426
"","يحيى القلعي","","","",1,425
"","م ح خ","","","",1,413
"","محمد رضا","","","",1,377
"","ع م","","","",1,363
"","محمد راغب السادات","","","",1,337
"","سليم أفندي قصاب","","","",1,335
"","عارف أفندي المحملجي","","","",1,327
"","سعيد زهور","","","",1,309
"","عبد الرحمن قصار","","","",1,300
"","ولي الدين يكن","","","",1,297
"","مصطفى أحمد القاياتي","","","",1,288
"","عبد الرحمن أفندي القصار","","","",1,284
"","عبد الرحيم أفندي قليلات","","","",1,275
"","عبد القادر بن محمد المبارك الحسني الجزائري","","","",1,263
"","ابو السعود مراد","","","",1,261
"","الشيخ حسن أفندي الأسطواني","","","",1,232
"","أحمد أفندي الصابوني","","","",1,183
"","جعفر بن شمس الخلافة","","","",1,163
"","توفيق العلمي","","","",1,161
"","محمد سعيد زهور","","","",1,145
"","محمد بن أبي شحاذ الضبي","","","",1,144
"","ط ي","","","",1,136
"","محمد علي بك الميداني","","","",1,115
"viaf:12338225","ابن تيمية","1263-01-22","1328-09-26","101",1,100
"","محمد نجيب كيوان","","","",1,93
"","محمد سعيد إياس","","","",1,85
"","خوجه زاده فخر الدين العينتابي","","","",1,68
"","محمد سعيد السكري","","","",1,68
"","محمد بن محمد المبارك","","","",1,54
"","محمد سليم الحنفي","","","",1,53
"","قاسم حرز الله","","","",1,52
"","عبد اللطيف البغدادي","","","",1,51
"","عبد القادر كيوان","","","",1,47
"","سليم قصاب حسن","","","",1,45
"","عبد القادر المبارك","","","",1,45
"","م","","","",1,45
"","ع. ب","","","",1,44
"","خالد الكاظم","","","",1,43
"","محمد أبو السعود مراد","","","",1,43
"","محمد سليم حنفي","","","",1,43
"","أج","","","",1,42
"","عارف محملجي","","","",1,42
"","م. ي","","","",1,41
